mean_log,sd_log,skew_log,log_likelihood
3.535845819,0.378002025,0.846169762,-1092.776382
3.523951753,0.376057554,0.605873167,-1093.456823
3.599031604,0.376801217,0.808636013,-1093.969698
3.483104071,0.353694815,0.897801286,-1094.797082
3.592833153,0.451445635,0.441183752,-1097.948307
3.495202157,0.345004595,0.723109462,-1094.987356
3.534568543,0.377976701,0.962934795,-1093.327371
3.502894373,0.382309574,0.963471661,-1094.479392
3.554247573,0.4210817,0.694582685,-1095.337037
3.529449336,0.404893428,0.408228533,-1094.93831
3.637815574,0.391168577,0.520260619,-1095.383161
3.606748553,0.397349194,0.857994722,-1095.097853
3.482286141,0.359809918,1.138653933,-1095.932743
3.557093641,0.373839799,0.86024761,-1092.721723
3.620120637,0.334219757,0.64269624,-1099.928094
3.552489853,0.386237843,0.516875722,-1093.259645
3.551108029,0.358880651,0.490722859,-1093.9793
3.537331569,0.417953833,0.42265764,-1095.277877
3.564669513,0.368476902,0.902696384,-1093.310782
3.591418438,0.404857993,0.831488895,-1094.655344
3.54856096,0.367678003,0.582431675,-1093.026602
3.55370384,0.385560042,0.637471119,-1092.778606
3.581854294,0.353791058,0.765125191,-1094.128487
3.542501269,0.35893521,0.871187954,-1092.930279
3.589157199,0.3672929,0.88821018,-1094.66153
3.589500581,0.389298721,0.767292149,-1093.324262
3.5515501,0.365734253,0.886825074,-1092.891022
3.491611193,0.383795454,0.943190288,-1095.144069
3.589465747,0.402690652,0.299873798,-1094.845592
3.5454017,0.365387835,0.7624068,-1092.541162
3.566305769,0.348686192,0.573239977,-1094.164478
3.515774624,0.350021915,0.898649051,-1093.57496
3.581042252,0.379142594,0.878690214,-1093.567147
3.531251509,0.339209099,0.822914492,-1094.246118
3.596167036,0.411661878,0.283731659,-1095.268907
3.546337489,0.364700131,0.679412307,-1092.701664
3.534257008,0.425148928,0.277516539,-1096.363429
3.56321512,0.403948177,0.455370218,-1093.932116
3.568137124,0.37131945,0.769390387,-1092.626777
3.557752943,0.392738081,0.559603449,-1093.169012
3.599992163,0.378206053,0.868437995,-1094.61798
3.573550857,0.418996812,0.231134294,-1095.757146
3.505939326,0.349409871,0.928810125,-1093.909461
3.583984489,0.3787804,0.401291483,-1094.004711
3.614200033,0.42699961,0.328026716,-1096.138076
3.52947593,0.411854725,0.495612094,-1094.958316
3.543686206,0.39329602,0.350216986,-1094.629102
3.600584741,0.403427024,0.674861809,-1094.024286
3.49642698,0.388251618,0.898487919,-1095.030977
3.587545268,0.358154359,0.683596173,-1093.783166
3.538453005,0.362559645,1.054346258,-1094.872053
3.536713359,0.359256613,0.597898019,-1093.404796
3.514324834,0.357245344,0.821334311,-1093.260035
3.523175017,0.355803148,0.938687072,-1093.373065
3.554298508,0.367998952,0.739625349,-1092.498957
3.527653884,0.404333513,0.663852369,-1094.347785
3.575174561,0.372535931,0.71902627,-1092.699123
