inflow_vol,month,starting_stage
597,April,3822.51
555,May,3840.59
593,July,3822.28
554,June,3849.42
543,September,3835.05
707,May,3838.82
501,August,3832.13
514,July,3828.78
768,June,3819.85
620,June,3846.93
724,July,3807.20
538,August,3815.68
743,May,3800.04
547,May,3835.35
596,July,3805.63
662,May,3811.80
535,May,3839.85
723,May,3814.31
708,June,3804.66
620,August,3819.03
545,September,3822.34
658,July,3806.41
545,May,3814.91
733,July,3809.97
658,June,3810.95
570,July,3848.71
684,June,3834.41
777,July,3843.03
618,August,3826.10
781,June,3798.50
599,July,3792.57
552,June,3837.72
600,July,3821.77
635,May,3808.56
638,June,3818.00
643,May,3809.97
807,July,3805.90
613,August,3835.04
668,June,3816.62
677,September,3845.22
605,September,3819.25
727,May,3839.77
708,June,3801.66
706,August,3801.11
533,August,3800.55
537,June,3820.03
620,July,3829.29
688,August,3838.21
579,May,3808.85
579,August,3796.73
701,August,3852.02
551,May,3803.95
610,August,3801.82
644,July,3811.86
597,June,3820.66
557,June,3856.95
641,June,3853.21
777,July,3805.25
755,June,3812.79
611,May,3814.88
630,August,3804.15
653,June,3807.16
639,May,3831.18
642,July,3840.20
545,May,3832.10
593,August,3800.83
552,August,3804.86
637,July,3808.02
768,August,3821.71
675,August,3844.84
622,August,3823.37
808,August,3806.35
601,May,3808.67
624,August,3810.13
604,June,3836.13
807,June,3844.14
709,May,3803.60
686,May,3850.76
592,May,3807.50
688,July,3815.76
680,May,3840.46
702,August,3825.10
726,August,3816.58
749,August,3834.55
814,June,3842.29
616,May,3807.27
716,May,3818.46
636,July,3832.26
674,June,3829.69
702,May,3855.63
565,July,3803.94
721,May,3820.84
664,August,3796.71
687,May,3849.58
785,May,3832.04
745,July,3834.47
811,June,3810.27
781,June,3807.27
699,September,3797.26
801,July,3855.28
717,June,3843.18
723,August,3833.28
822,June,3812.24
567,July,3804.15
601,April,3821.06
767,July,3815.83
630,July,3801.23
702,June,3845.14
746,June,3826.10
790,June,3805.28
716,August,3797.93
692,May,3813.97
688,June,3846.39
692,July,3843.98
643,June,3814.33
555,August,3815.41
677,August,3817.90
681,August,3823.09
699,August,3838.02
707,June,3839.87
818,May,3826.81
659,July,3847.10
718,August,3805.59
629,July,3820.41
679,May,3847.54
686,April,3853.61
678,May,3811.41
733,July,3840.44
663,August,3802.84
655,July,3806.18
772,August,3813.62
628,June,3847.92
703,June,3794.97
1005,July,3827.41
722,May,3809.80
679,August,3792.04
736,June,3817.11
655,August,3850.62
707,June,3818.13
723,July,3792.39
713,April,3809.77
737,May,3827.73
796,June,3812.57
766,June,3813.32
724,July,3804.30
684,July,3815.41
746,July,3807.41
647,June,3811.48
757,August,3835.44
777,May,3825.57
768,August,3799.42
826,July,3801.14
737,May,3803.16
785,June,3815.60
697,August,3796.84
751,August,3803.27
799,May,3836.40
663,July,3807.26
712,June,3807.88
684,June,3840.98
851,June,3808.81
812,April,3851.22
762,May,3811.16
745,September,3805.25
764,June,3832.89
744,May,3825.23
758,July,3843.77
822,May,3806.17
760,May,3806.76
779,July,3841.95
768,August,3799.97
792,June,3853.86
771,June,3814.64
762,June,3817.55
757,June,3818.73
729,June,3831.85
799,June,3842.81
753,July,3828.39
681,June,3848.60
762,August,3807.57
686,August,3798.15
814,August,3807.45
782,June,3816.07
766,June,3840.89
858,May,3829.32
765,July,3817.53
790,June,3804.05
873,July,3811.53
773,June,3833.03
844,August,3851.96
748,May,3815.89
790,July,3792.67
717,May,3811.94
814,April,3812.28
782,July,3795.13
832,June,3817.58
730,July,3831.31
863,July,3810.41
754,May,3849.48
877,May,3835.57
792,May,3806.07
804,May,3811.96
842,July,3810.76
696,June,3856.34
808,June,3820.33
771,June,3840.39
821,June,3844.61
810,June,3831.96
845,July,3842.51
849,May,3836.32
824,August,3808.64
849,July,3848.95
732,August,3846.36
833,July,3825.88
874,August,3827.88
753,June,3814.75
743,August,3851.63
890,June,3854.41
782,July,3821.70
748,May,3848.63
799,July,3802.81
925,May,3823.08
759,August,3792.18
850,June,3842.07
887,July,3843.89
885,August,3803.85
808,June,3830.98
836,June,3806.33
928,May,3807.29
875,June,3824.81
869,May,3862.09
877,August,3810.57
829,July,3851.95
838,May,3848.09
908,June,3848.28
899,June,3824.12
847,May,3821.85
901,May,3802.99
895,June,3851.73
714,August,3799.12
844,September,3849.57
897,May,3803.50
884,August,3801.68
870,July,3839.23
790,June,3846.65
