Ordinate,Date,Time,Flow
320,6/20/1965,14:45,35120
321,6/20/1965,15:00,36017
322,6/20/1965,15:15,36768
323,6/20/1965,15:30,37481
324,6/20/1965,15:45,37527
325,6/20/1965,16:00,37574
326,6/20/1965,16:15,37620
327,6/20/1965,16:30,37274
328,6/20/1965,16:45,36813
329,6/20/1965,17:00,36164
330,6/20/1965,17:15,35644
331,6/20/1965,17:30,35351
332,6/20/1965,17:45,35745
333,6/20/1965,18:00,36725
334,6/20/1965,18:15,37687
335,6/20/1965,18:30,38525
336,6/20/1965,18:45,37167
337,6/20/1965,19:00,24781
338,6/20/1965,19:15,14229
339,6/20/1965,19:30,5415
340,6/20/1965,19:45,3924
341,6/20/1965,20:00,4373
342,6/20/1965,20:15,4816
343,6/20/1965,20:30,5235
344,6/20/1965,20:45,5199
345,6/20/1965,21:00,4821
346,6/20/1965,21:15,4266
347,6/20/1965,21:30,3810
348,6/20/1965,21:45,4098
349,6/20/1965,22:00,4386
350,6/20/1965,22:15,4644
351,6/20/1965,22:30,4835
352,6/20/1965,22:45,4873
353,6/20/1965,23:00,4600
354,6/20/1965,23:15,4327
355,6/20/1965,23:30,4055
356,6/20/1965,23:45,4298
357,6/21/1965,0:00,4716
358,6/21/1965,0:15,5265
359,6/21/1965,0:30,5852
360,6/21/1965,0:45,5608
361,6/21/1965,1:00,5350
362,6/21/1965,1:15,5155
363,6/21/1965,1:30,4994
364,6/21/1965,1:45,5061
365,6/21/1965,2:00,5606
366,6/21/1965,2:15,6182
367,6/21/1965,2:30,6787
368,6/21/1965,2:45,6540
369,6/21/1965,3:00,6218
370,6/21/1965,3:15,5895
371,6/21/1965,3:30,5573
372,6/21/1965,3:45,5406
373,6/21/1965,4:00,5686
374,6/21/1965,4:15,5965
375,6/21/1965,4:30,6204
376,6/21/1965,4:45,6413
377,6/21/1965,5:00,6623
378,6/21/1965,5:15,6832
379,6/21/1965,5:30,7107
380,6/21/1965,5:45,7730
381,6/21/1965,6:00,9616
382,6/21/1965,6:15,11501
383,6/21/1965,6:30,12131
384,6/21/1965,6:45,12190
385,6/21/1965,7:00,12274
386,6/21/1965,7:15,12661
387,6/21/1965,7:30,13047
388,6/21/1965,7:45,13502
389,6/21/1965,8:00,13991
390,6/21/1965,8:15,14480
391,6/21/1965,8:30,14588
392,6/21/1965,8:45,14221
393,6/21/1965,9:00,13854
394,6/21/1965,9:15,13284
395,6/21/1965,9:30,12888
396,6/21/1965,9:45,13167
397,6/21/1965,10:00,13447
398,6/21/1965,10:15,13726
399,6/21/1965,10:30,14005
400,6/21/1965,10:45,14134
401,6/21/1965,11:00,14104
402,6/21/1965,11:15,14074
403,6/21/1965,11:30,13517
404,6/21/1965,11:45,12948
405,6/21/1965,12:00,12144
406,6/21/1965,12:15,11073
407,6/21/1965,12:30,9949
408,6/21/1965,12:45,10002
409,6/21/1965,13:00,10988
410,6/21/1965,13:15,11407
411,6/21/1965,13:30,11187
412,6/21/1965,13:45,10735
413,6/21/1965,14:00,10280
414,6/21/1965,14:15,9819
415,6/21/1965,14:30,9440
416,6/21/1965,14:45,9114
417,6/21/1965,15:00,8875
418,6/21/1965,15:15,8635
419,6/21/1965,15:30,8376
420,6/21/1965,15:45,8096
421,6/21/1965,16:00,7816
422,6/21/1965,16:15,7537
423,6/21/1965,16:30,7021
424,6/21/1965,16:45,6418
425,6/21/1965,17:00,5814
426,6/21/1965,17:15,5210
427,6/21/1965,17:30,4618
428,6/21/1965,17:45,4185
429,6/21/1965,18:00,4353
430,6/21/1965,18:15,4520
431,6/21/1965,18:30,4362
432,6/21/1965,18:45,3859
433,6/21/1965,19:00,3289
434,6/21/1965,19:15,2690
435,6/21/1965,19:30,2206
436,6/21/1965,19:45,2227
437,6/21/1965,20:00,2248
438,6/21/1965,20:15,2269
439,6/21/1965,20:30,2541
440,6/21/1965,20:45,2980
441,6/21/1965,21:00,3419
442,6/21/1965,21:15,3857
443,6/21/1965,21:30,3594
444,6/21/1965,21:45,3196
445,6/21/1965,22:00,2797
446,6/21/1965,22:15,2615
447,6/21/1965,22:30,3063
448,6/21/1965,22:45,3511
449,6/21/1965,23:00,3958
450,6/21/1965,23:15,4406
451,6/21/1965,23:30,4830
452,6/21/1965,23:45,4869
453,6/22/1965,0:00,4909
454,6/22/1965,0:15,4949
455,6/22/1965,0:30,5101
456,6/22/1965,0:45,5520
457,6/22/1965,1:00,5938
458,6/22/1965,1:15,6357
459,6/22/1965,1:30,6783
460,6/22/1965,1:45,7220
461,6/22/1965,2:00,7657
462,6/22/1965,2:15,8094
463,6/22/1965,2:30,8585
464,6/22/1965,2:45,9255
465,6/22/1965,3:00,9926
466,6/22/1965,3:15,10596
467,6/22/1965,3:30,10967
468,6/22/1965,3:45,11177
469,6/22/1965,4:00,11386
470,6/22/1965,4:15,11595
471,6/22/1965,4:30,12361
472,6/22/1965,4:45,14168
473,6/22/1965,5:00,15975
474,6/22/1965,5:15,16965
475,6/22/1965,5:30,17074
476,6/22/1965,5:45,17183
477,6/22/1965,6:00,17292
478,6/22/1965,6:15,16996
479,6/22/1965,6:30,15801
480,6/22/1965,6:45,13107
481,6/22/1965,7:00,10209
